word,category
"apprehensive,걱정하는, 염려하는",TOEFL
"distant,먼",GTELP
"recently,최근에",GTELP
"mow,v. (풀을) *베다*",SUNEUNG
"row,n. *열, 줄*",SUNEUNG
"pronunciation,발음",GTELP
"sailor,선원",GTELP
"discourage,실망시키다 낙담시키다",GTELP
"exaggerate,v. *과장하다, 과장해서 말하다*",SUNEUNG
"disconcert,당황하게 하다",TOEFL
"accessible,adj . 접근 가능한 , 이용할 수 있는",TOEIC
n. *경주*,SUNEUNG
"dispose,v. *배치하다, 처리하다,* ~할 마음이 내키게 하다",SUNEUNG
n. *주옥*,SUNEUNG
"gratitude,감사",GTELP
"delicate,a. *섬세한*",SUNEUNG
n. *진심*,SUNEUNG
"share,v . 공유 하다 . 나누다 n . 몫 , 주식 ( sstock ) . 시장 점유율",TOEIC
"prognosticate,예언하다, 예지하다",TOEFL
"urgent,급한",GTELP
"readership,n . 독자 수 ( 중 ]",TOEIC
v. 발생하다,SUNEUNG
"faith,n. *신념, 믿음*",SUNEUNG
"laconic,간결한, 과묵한",TOEFL
"ability to V,- 할 수 있는 능력",TOEIC
"storyteller,이야기꾼",GTELP
"category,n . 범주",TOEIC
"encroach,침입하다, 침략하다",TOEFL
v. *금가다*,SUNEUNG
"discomfit,당황하게 하다, 혼란스럽게 하다",TOEFL
"penetrate,v. *침투하다, 꿰뚫다*",SUNEUNG
"proceeds,n. 수익금",TOEFL
"drought,n. *가뭄*",SUNEUNG
"excess,n. *초과, 초과량,* 과도함",SUNEUNG
"accurate,adj . 정확한",TOEIC
"measure,v. *측정하다*",SUNEUNG
"grind,v. *갈다, 빻다*",SUNEUNG
"entrance,n . 입구 : 문 들어가기 , 입장",TOEIC
"unable,할 수 없는",GTELP
"protean,변화무쌍한",TOEFL
"refraction,n. (빛 · 소리 따위의) *굴절*",SUNEUNG
"commend,v . 칭찬 하다",TOEIC
"penniless,돈 없는",GTELP
"shield,방패, 보호물, 보호하다",TOEFL
"obtain,v . 얻다",TOEIC
"be cognizant of,~을 알고 있다",TOEFL
"indoor,실내의",GTELP
"category,n. *범주*",SUNEUNG
"exploit,위업, 업적; 이용하다, 착취하다",TOEFL
"enormously,대단히, 엄청나게",TOEFL
"originate,v. *시작되다, 비롯하다*",SUNEUNG
"reportedly,adv . 보도 에 의하면 , 알려진 바에 따르면",TOEIC
"client,n . 고객 , 의뢰인",TOEIC
"hinder,v. *방해하다*",SUNEUNG
"adjust,조절하다, 조정하다,적응하다",TOEFL
"recent study,최근의 연구",GTELP
"decorate,장식하다, 꾸미다",TOEFL
"hyperbole,과장된 말, 과장법",TOEFL
"extinction,멸종",GTELP
"currency,통화",TOEFL
"strange object,이상한 물건",GTELP
"burglar,강도, 도둑",TOEFL
"extraordinary,a. *비상한, 비범한*",SUNEUNG
"psychologist,n. *심리학자*",SUNEUNG
"attract,v. (주의 · 흥미 등을) *끌다*",SUNEUNG
"highway,n. *고속도로, 간선도로*",SUNEUNG
"chestnut,진부한 이야기, 밤나무",TOEFL
"abiding,지속적인, 변함없는",TOEFL
"specious,그럴듯한",TOEFL
"achieve,성취하다",GTELP
"float,v. *뜨다, 떠다니다*",SUNEUNG
"kindergarten,n. *유치원*",SUNEUNG
"decade,10년, 10년간",TOEFL
"nimble,빠른, 날렵한; 민첩한,영리한",TOEFL
"banquet,연회",TOEFL
"curtail,축소하다, 줄이다, 삭감하다",TOEFL
"probe,v. *조사하다*",SUNEUNG
"emit,방출하다",TOEFL
"be likely toR R,할 것 같다",GTELP
"depict,v. *묘사하다, 그리다*",SUNEUNG
"prophecy,n. *예언*",SUNEUNG
"trace,n. *흔적*",SUNEUNG
"maternal,a. *어머니의, 모계의,* 모국어의",SUNEUNG
"compatible,adj . 호환 이 되는 , 양립 할 수 있는",TOEIC
"be careful,조심하다",GTELP
v. *분할하다*,SUNEUNG
"digestion,소화",GTELP
"appointment,n . 임명 , 지명",TOEIC
"balm,진통제",TOEFL
"obstacle,장애물",GTELP
"encouragement,n . 격려 ( 가 되는 것 )",TOEIC
"tragic,a. *비극의, 비참한, 비장한*",SUNEUNG
=summarize,TOEFL
"confederation,연합, 동맹",TOEFL
"miserable,a. *비참한, 불쌍한*",SUNEUNG
"belated,a. 늦어진, 뒤늦은",TOEFL
a. *완전한*,SUNEUNG
"esteem,존중하다, 간주하다",TOEFL
n. 작업복,SUNEUNG
"consist of,v.- 로 구성 되다",TOEIC
"eloquent,웅변의",TOEFL
"recapitulate,요약하다 (<다시 머리가 될 만한 내용만 따서)",TOEFL
"dose,회분 복용량",GTELP
"prominent,저명한, 두드러진",TOEFL
"monitor,v . 주시 [ 모니터 ] 하다 , 관찰 하다",TOEIC
n. 짧은 보고,SUNEUNG
"desert,사막, 버리다",TOEFL
"one of,중에 하나",GTELP
"plainly,솔직히, 숨김없이",TOEFL
"impose,v. *부과하다, 강요하다*",SUNEUNG
"incorporation,n . 포함 법인 설립 , 법인 단체 , 회사 ( corporation )",TOEIC
"valid,adj . 유효한 , 타당한",TOEIC
"cherish,v. *소중히 하다*",SUNEUNG
v. *사면하다*,SUNEUNG
"imbibe,(술, 물) 마시다, 흡수하다; (지식, 정보) 학습하다",TOEFL
"n. *비난, 책망*",SUNEUNG
"search for,을 찾다",GTELP
"penetrate,침투하다,관통하다",TOEFL
"impartial,공정한, 공평한",TOEFL
"devote,v. (몸 · 노력 · 시간 · 돈을) *바치다*",SUNEUNG
"organization,조직체 단체",GTELP
"intend,v. *~할 작정이다, 의도하다*",SUNEUNG
"eligible,adj . 자격 이 있는 , 적임 의 , 적격 인",TOEIC
"competent,유능한, 능숙한",TOEFL
"compose,v. *구성하다,* 작문하다, 작곡하다",SUNEUNG
"enigmatic,수수께끼 같은, 난해한",TOEFL
"stand,v . 서다 . 서 있다 n . ( 공개적 으로 드러내는 ) 태도 [ 의견 ] : 가판대 , 좌판",TOEIC
"resolve,v. *결심하다, 결심시키다,* 분해하다, 해결하다",SUNEUNG
"personal information,개인 정보",GTELP
"streamlined,adj . 유선형 의 : 능률적 인 , 간결한",TOEIC
"hemisphere,n. *반구체,* (지구 · 천체의) *반구*",SUNEUNG
"labyrinth,미로, 미궁",TOEFL
"supernatural,a. *초자연적인*",SUNEUNG
"headmaster,n. *교장*",SUNEUNG
"gap,n. *격차, 틈*",SUNEUNG
"supervisor,n . 상사 , 관리자",TOEIC
"innocence,n. *순결, 청정, 결백, 무죄*",SUNEUNG
"generate,v. *일으키다, 발생시키다*",SUNEUNG
"camouflage,위장하다, 감추다",TOEFL
"look taller,더 크게 보이다",GTELP
"desire,n. *욕망, 욕구*",SUNEUNG
"prolong,v. *연장하다*",SUNEUNG
"diagnose,v. *진단하다*",SUNEUNG
"fairly,adj 꽤 , 상당히",TOEIC
"sink,v. *가라앉다*",SUNEUNG
"prior to N / Hing,~ 하기 전에",TOEIC
"borrow,v . 빌리다 . 차용 하다",TOEIC
v. 진공청소기로 청소하다,SUNEUNG
"clearly,분명하게",GTELP
"accumulate,v . 축적 하다 ; ( 이자 , 점수 , 포인트 등 이 ) 생기다",TOEIC
"assume,v . ( 임무 / 역할 / 책임 을 ) 맡다 . 가정 [ 추측 , 추정 ] 하다",TOEIC
"average,보통의",GTELP
"production,n . ( 영화 등 의 ) 제작 , 생산 : 상연 작품",TOEIC
"delight,n. *기쁨*",SUNEUNG
"institute,연구소, 협회, 설립하다, 제정하다",TOEFL
V. (문서로) 명예를 훼손하다,TOEFL
"prefer,더 좋아하다",GTELP
"facility,n . 시설 , 설비",TOEIC
"perseverance,n. *인내심*",SUNEUNG
"obvious,a. *명백한, 분명한*",SUNEUNG
"cause,v. *~의 원인이 되다*",SUNEUNG
"escape,도망가다",GTELP
"commercial,n . ( TV- 라디오 ) 광고 adj . 상업 의",TOEIC
"steady,adj 끊임 없는 , 꾸준한 , 확고한",TOEIC
"rifle,소총",GTELP
"reduce,줄이다",GTELP
"suitable,a. *적절한, 적합한*",SUNEUNG
"positive,adj . 긍정적 인 , 호의적 인",TOEIC
"secure,안전한, 확보하다",TOEFL
"give up - ing,포기 하다",TOEIC
"foster,v. *육성하다, 촉진시키다*",SUNEUNG
"accept,받아들이다",GTELP
"weed,n. *잡초*",SUNEUNG
"assume,가정하다",GTELP
"threat,n. *위협, 협박*",SUNEUNG
n. *밟음*,SUNEUNG
"location,n. *장소, 위치*",SUNEUNG
"crust,n. *껍질, 지각*",SUNEUNG
"mite,약간, 조금",TOEFL
"cattle,소",GTELP
"educator,교육자",GTELP
"paralysis,마비, 중풍",TOEFL
"colleague,n. *동료*",SUNEUNG
"diverse,a. *다른 종류의, 다양한*",SUNEUNG
"awkward,a. *서투른, 어색한,* 꼴사나운",SUNEUNG
"mock,조롱하다, 가짜의",TOEFL
"renew,v . 연장 하다 , 갱신 하다",TOEIC
"gear,n. *장비, 기어*",SUNEUNG
"rainforest,n. (열대)*우림*",SUNEUNG
"frank,솔직한",TOEFL
"drastically,adv . 대폭 으로 , 급격히",TOEIC
"allowance,용돈",TOEFL
"fowl,가금, 닭",TOEFL
"legacy,n. *유산*",SUNEUNG
"force,v. *강요하다*",SUNEUNG
"local,ad . 지역 의 , 지방 의 n . 지역 주민",TOEIC
"internal,a. *내부의*",SUNEUNG
"a. *총합의, 엄청난*",SUNEUNG
"crucial,a. *중대한, 결정적인*",SUNEUNG
"statesman,n. *정치가*",SUNEUNG
"humidity,n . 습도 , 습기",TOEIC
"gain,v. *얻다*",SUNEUNG
a. *개척자의*,SUNEUNG
"pretentious,허세부리는, 과시하는",TOEFL
"emphasis,n . 강조 , 주안점",TOEIC
"defective,결함이 있는, 불완전한",TOEFL
"accurate,a. *정확한*",SUNEUNG
"expedition,n. *탐험(대)*",SUNEUNG
"cleaners and soap for the home,가정용 비누와 세제",GTELP
"patient,환자",GTELP
"shatter,v. *산산이 부서지다*",SUNEUNG
"increasing pressure,증가 하는 압력",TOEIC
"tribe,n. *부족, 종족*",SUNEUNG
"steadily,꾸준히, 지속적으로",TOEFL
"dystopic,반이상향의, 정말 살기 싫은, 비관적인, 암울한",TOEFL
"functionality,n . ( 상품 등 의 ) 기능성",TOEIC
"concentration,집중 , 전념 농축 , 응축",TOEIC
"property,n. *재산*",SUNEUNG
"remote,먼",TOEFL
"offer,제공하다",GTELP
"preferment,승진, 승급",TOEFL
"According to,에 따르면",GTELP
"setback,n . 차질",TOEIC
"slightly,adv . 약간 , 조금",TOEIC
"flat,편평한 납작한",GTELP
v. *염색하다*,SUNEUNG
"worsen,v . 악화 되다 : 악화 시키다",TOEIC
"fluctuate,변동하다, 오르내리다",TOEFL
"feedback,n. *반응, 피드백*",SUNEUNG
"dismount,(말 등에서) 내리다",TOEFL
"accommodations,숙박",GTELP
"count,중요하다, 가치가 있다",TOEFL
"food container,음식물 용기",GTELP
"forbid,v. *금지하다*",SUNEUNG
"leisure,n. *여가, 자유시간*",SUNEUNG
"flood,n. *홍수*",SUNEUNG
"analogy,유사, 유추",TOEFL
n. 중간물,SUNEUNG
"famine,기근, 굶주림",TOEFL
"background,n. *배경, 배경 지식,* 이유",SUNEUNG
"ancestor,n. *조상, 선조*",SUNEUNG
"pensive,깊은 생각에 잠긴",TOEFL
"settler,정착민 개척자",GTELP
"cursory,서두르는, 피상적인",TOEFL
v. *구매하다*,SUNEUNG
"spontaneous,자발적인, 즉흥적인",TOEFL
"heredity,유전, 세습, 전통",TOEFL
"mostly,대개",GTELP
"stage,단계",GTELP
"patrimony,세습재산",TOEFL
"appall,오싹하게, 질겁하게 하다",TOEFL
"privilege,n. *특권*",SUNEUNG
"nurture,v. *양육하다, 교육하다*",SUNEUNG
"actually,실제로",GTELP
"relaxation,휴식",GTELP
"effective,ad ( 법률 , 규정 등 이 ) 시행 되는 : 발효 되는 효과적인",TOEIC
"overturn,뒤집다, 전복시키다",TOEFL
"compel,v. *강요하다, ~하게 만들다*",SUNEUNG
"await,v. *기다리다*",SUNEUNG
"proposal,n . 제안 ( 서 ) , 제 의",TOEIC
"alter,v. *바꾸다, 변경하다*",SUNEUNG
"lightning,번개",GTELP
"propriety,적절성, 예의바름",TOEFL
v. *개혁하다*,SUNEUNG
"inevitable,a. *피할 수 없는*",SUNEUNG
"ponder,v. *심사숙고하다*",SUNEUNG
"obscurity,애매함, 모호",TOEFL
"govern,통치하다",GTELP
"get a stomachache,배가 아프다",GTELP
"iceberg,n. *빙산*",SUNEUNG
"stable,a. *안정된*",SUNEUNG
"initial,a. *처음의*",SUNEUNG
"reprove,v. *꾸짖다, 책망하다*",SUNEUNG
"sanctum,신성한 장소, 성소; (간섭이 없는)",TOEFL
"light,색이 연한",GTELP
"hazard,위험, 모험",TOEFL
"distributor,분배업자 도매상인",GTELP
"occupy,v . 차지 하다 , ( 건물 을 ) 사용 하다",TOEIC
"a. *채식주의자의, 채식의*",SUNEUNG
"consistent,a. *일관된,* 모순이 없는",SUNEUNG
"blanket,담요",GTELP
"strict,엄격한 엄한",GTELP
"burrow,굴, 굴을 파다",TOEFL
"wherever,어느 곳이든",GTELP
"be engrossed in,~에 열중하다",TOEFL
"mishap,N. (가벼운) 사고, 재난, 불상사",TOEFL
"leading,adj . 주요한 , 선두의",TOEIC
"cite,인용하다",TOEFL
"spacious,adj . 넓은 , 확 트인",TOEIC
"greedy,탐욕스러운",TOEFL
"horror,n. *공포, 전율*",SUNEUNG
"neither A nor B A B,도 도 아니다",GTELP
"prevent,v. *예방하다*",SUNEUNG
"shrug,v. (어깨를) *으쓱하다*",SUNEUNG
"complex,복잡한",GTELP
"typically,adv . 보통 , 일반적 으로",TOEIC
"tissue,조직",GTELP
"compact,a. *아담한, 밀집한*",SUNEUNG
"sign,징조 조짐",GTELP
"cumbersome,성가신, 다루기 힘든",TOEFL
"contain,포함하다 이 들어 있다",GTELP
"distress,n. *고민, 고통*",SUNEUNG
"temporarily,adv . 일시적 으로 , 임시 로",TOEIC
"soak,흠뻑적시다",TOEFL
"doom,v. *~할 운명이다*",SUNEUNG
"entry,n . ( 경기 등 의 ) 참가자 : 출품물 , 참가작",TOEIC
"sustain,v. *지탱하다, 유지하다*",SUNEUNG
"above,위에 위쪽에",GTELP
"drone,(꿀벌의) 수벌, 게으름뱅이",TOEFL
"generate,발생시키다",GTELP
"cover,v . ( 비용 따위 를 ) 충당 하다 . 대다 ; 다루다 . 포함 하다 : ( 보험 으로 ) 보장 하다",TOEIC
"Trans fat,트랜스 지방",GTELP
"preference,선호 애호",GTELP
"deck,n. *갑판*",SUNEUNG
"blockade,차단하다",TOEFL
"monster,n. *괴물,* 도깨비",SUNEUNG
"feast,연회, 잔치",TOEFL
"ranch,n. *목장*",SUNEUNG
"process,과정 절차",GTELP
"many of,대부분",GTELP
"individual,개인의",GTELP
"result,n . 결과 v.- 로부터 발생 하다 ( from ) : - 을 초래 하다 ( in )",TOEIC
"decay,n. *부식*",SUNEUNG
"calmness,평온함 안정",GTELP
"approaching date,다가오는 날짜",TOEIC
"textmessage,문자를 주고받다",GTELP
"truly,진심으로",GTELP
"throughout the world,전 세계에",GTELP
"genetics,유전학, 유전적 특징",TOEFL
"infraction,위반, 침해",TOEFL
"term,n . 조건 : 기간 : 용어",TOEIC
"ancient,고대의",GTELP
"increase,증가시키다",GTELP
"process,처리하다",TOEFL
"leftover,a. *나머지의, 남은*",SUNEUNG
"revolution,n. *혁명, 갑작스런, 변화,* 회전",SUNEUNG
"place an order,주문을 하다",GTELP
"constant,지속적인",GTELP
"opt,선택하다",TOEFL
"request,n. *요청*",SUNEUNG
"v. *훈련하다, 단련하다*",SUNEUNG
"gruesome,소름끼치는, 오싹하는",TOEFL
v. *자발적으로 ~하다*,SUNEUNG
"theater,극장",GTELP
"gradual rise,점차적인 증가",GTELP
"establish,설립하다",GTELP
"gullible,잘 속는",TOEFL
"roam,v. (정처 없이) *배회하다*",SUNEUNG
"liquid,n. *액체*",SUNEUNG
"assume,v. *추정하다,* (태도 등을) 취하다",SUNEUNG
"criminal,범죄자",GTELP
"stereotype,n. *인습, 고정관념,* 연판 인쇄",SUNEUNG
"fallacious,잘못된, 틀린",TOEFL
"fill A with B A B,를 로 채우다",GTELP
"motivate,v . 동기 를 부여 하다 , 원인 이 되다",TOEIC
"dedicate,v. *헌납하다, 바치다*",SUNEUNG
"spin move,회전동작",GTELP
"installment,n. 할부",TOEFL
"repercussion,영향, 반향, 반동",TOEFL
n. *지체 부자유자*,SUNEUNG
"miss,놓치다",GTELP
"fascinating,매혹적인",TOEFL
"dependable,신뢰할 수 있는",TOEFL
"noble,a. *귀족의, 고결한*",SUNEUNG
"bereave,(가족을) 잃다, 여의다, 사별하다",TOEFL
"exhort,강요하다, 강권하다, 충고하다",TOEFL
n. *엎지름*,SUNEUNG
"all of sudden,갑자기",GTELP
"fully,adv . 완전히 , 전적으로",TOEIC
"misdemeanor,경범죄, 비행, 악행",TOEFL
"level,n. *수준, 수평*",SUNEUNG
"bring up,양육하다 기르다",GTELP
n. *공격*,SUNEUNG
"orchard,n. *과수원*",SUNEUNG
"wilderness,n. *황무지, 황야*",SUNEUNG
"bald,대머리의",GTELP
"reception,n. *환영회, 접수*",SUNEUNG
"word list,단어 목록",GTELP
"enlist,v. (군인을) *모집하다,* 도움을 얻다",SUNEUNG
"prestige,n . 명성 , 위신",TOEIC
"stretch,뻗다 늘이다",GTELP
"fortress,n. (대규모의) *요새*",SUNEUNG
"deter,단념시키다, 그만두게 하다",TOEFL
"illustrate,v. *설명하다, 예증하다,* ~에 삽화를 넣다",SUNEUNG
"empathize,v. *공감하다, 감정 입을 하다*",SUNEUNG
"tap,두드리다",GTELP
"nursery,n . 묘목 장 , 탁아소",TOEIC
"cleanup day,대청소",GTELP
"supplementary,adj . 보충 의 , 추가 의",TOEIC
"officially,adv . 공식적 으로 , 정식 으로",TOEIC
"seriously,심각하게",GTELP
2. 극찬하다,TOEFL
"automatic,자동의 자동적인",GTELP
"iterate,되풀이하다, 반복하다",TOEFL
"regard,v. *~으로 여기다*",SUNEUNG
"foreboding,불길한 예감",TOEFL
"spread,퍼지다",GTELP
"en route,(어디로 가는) 도중에",TOEFL
"run,v . 진행 [ 계속 ] 되다 . 제공 되다 ; 운영 하다 ( 기계 ) 돌아가다",TOEIC
"scrupulous,양심적인; 세심한, 꼼꼼한, 면밀한",TOEFL
"colleague,동료",GTELP
"beware,v. *조심하다*",SUNEUNG
"policy,n. *정책,* 수단, 방법",SUNEUNG
"productive,생산적인",GTELP
"invaild,무효한, 병약자, 병자",TOEFL
"call for,- 을 필요 로 하다 . 요구 하다",TOEIC
"backward,뒤쪽으로",GTELP
"detail,세부 사항",GTELP
