thread,실
erase,지우다
refer to,언급하다 말하다
if necessary,필요하다면
attract,유혹하다 마음을 끌어당기다
attention,관심
effectively,효과적으로
explain,설명하다
explanation,설명
similarly,유사하게 이와 마찬가지로
in contrast,반대로
positive,긍정적인
negative,부정적인
competition,경쟁
attitude,태도
overcome,극복하다
defeat,부수다 이기다
recognize,인식하다
focus on,초점을 맞추다
weakness,약점
explorer,탐험가
expedition,탐험
caravan,여행 대
award n v,상 상을 주다
reward n v,보상 보상하다
yet,그러나 그럼에도 불구하고
in gaining support,지원을 얻는데
in theory,이론상
particular path,특별한 길
equip,장비를 갖추다
equipment,장비
take over,양도받다 물려받다
aging population,노령인구
above graph,위 도표
elderly people,노인
be expected to Root,할 것으로 기대되어진다
while,반면에 동안
gradual rise,점차적인 증가
figure,숫자 모양
social context,사회적 상황
various,다양한
male,남성의
female,여성의
happen to Root,우연히 알게 되다
researcher,학자 연구자
prove,증명하다
pregnant,임신한
pregnancy,임신
turn into,로 바뀌다
male hormone,남성호르몬
due to,때문에
rich connection,풍부한 연결고리
communicative connection,의사소통연결고리
three times,세배
floor,가속페달을 밟다
slam,쾅 부딪히다
all of a sudden,갑자기
all at once,갑자기
explode,폭발하다
explosion,폭발
gunshop,총격
head for,로 향하다
teartoretorn,찢다
torn metal,찢겨진 금속
spin spanspun,돌다
passerby,지나가는 사람 행인
festive,축제 같은 즐거운
urgent,다급한 긴박한
monotonous,단조로운 무미건조한
promising,가망 있는 유망한
pressure,압력 압박
exhausted,녹초가 된 기진맥진한
colleague,동료
customer,고객
nothing left,남겨진 것이 아무것도 없다
gladiator,검투사
battle,전투
weary,피로한 지친
wearily,지쳐서
arm chair,안락의자
regain,되찾다
calmness,평온함 안정
this sorry scenario,이 슬픈 상황
scenario,극본 상황 대본
greet,인사하다
fill A with B A B,를 로 채우다
bamboo,대나무
stick,막대기
gunpowder,화약
explode,폭발시키다
scare away,겁주어 ㅉㅗㅈ아내다
evil spirits,악령
various,다양한
describe,묘사하다 서술하다
bomb,폭탄
burst,터지다 폭발하다
key part,중요한 역할
celebrate,축하하다
national holidays,국경일
cultural events,문화 행사
Trans fat,트랜스 지방
increase,증가시키다
total,전체의
level,수준
grease,기름 지방
sink,부엌 싱크대
that is,즉 다시 말하면
block up,막다 방해하다
blood vessel,혈관
as a result,그 결과
blood stream,혈류피의 흐름
smooth,부드러운 유연한
contain,포함하다 이 들어 있다
be likely toR R,할 것 같다
heart disease,심장 질환
therefore,그러므로
communicate with,와 의사소통하다
insect,곤충
such as,와 같은
over there,저쪽에
by sight,시각으로
a ind of,일종의
location,위치
mammal,포유동물
whale,고래
exchange,교환하다
symbol,상징
represent,말하다 표현하다
thought,생각
ease,덜다 완화시키다
pain,고통
loss,상실 잃음
special,특별한
in many ways,여러 면에서
sense of humor,유머 감각
passion,열정
pleasure,기쁨
cherish,소중히 하다
funeral,장례식
come by,에 들리다
in the meantime,그사이에
sympathy pl,동정 헤아림 종종 조위 문상 위문
take time from sleep,잠 잘 시간을 뺐다
supper,저녁식사
society,사회
open,열려있는
company,회사
employee,종업원 사원
television station TV,방송국
broadcast,방송하다
these days,요즘
common,일반적인
express,표현하다
romantic,낭만적인
nervous,흥분하기 쉬운
decoration,장식
bouquet,부케
anniversary,기념일
selected,선택된
select,선택하다
present,에게 주다
celebration,축하
exactly,정확하게
opinion,의견
get along with,와 사이좋게 지내다
dont have toR R,할 필요 없다
difference,차이
accept,받아들이다
negative,부정적인
thought,생각
that is,즉
diligent,부지런한
intelligent,지적인
bowl,주발 공기
separate,떼어 놓다
immediately,즉시
notice,알아차리다
behave,행동하다
strangely,이상하게
bang,쾅 부딪히다
miss,그리워하다
float,뜨다 표류하다
surface,표면
broken heart,실연
temperature,온도
lack,부족 결핍
longdistance,장거리
rare,보기 드문 희귀한
researcher,연구조사원
search for,을 찾다
avoid,피하다
toxic object,독이 있는 물질
purple,보라색
dye,염색하다
serve,음식을 차려내다
appetite,식욕
on the other hand,반면에
decoration,장식
most of,대부분
textmessage,문자를 주고받다
poetry,시
common,일반적인
education,교육
any more,더 이상
indoor,실내의
be full of,으로 가득 차다
for the first time,처음으로
feel like,처럼 느끼다
counselor,상담원 캠프지도자
realize,깨닫다
describe,묘사하다 서술하다
tearful,눈물어린
deeply,짙게 몹시
move,감동시키다
relationship,관계
form,형성하다
experience,경험하다
amazing,놀라운
point,어떤 특정한 때 시점 순간 찰나
effort,노력
truly,진심으로
depend on,에 의존하다
fossil fuel,화석 연료
increase,증가시키다
amount,양 총계
carbon,탄소
cause,의 원인이 되다
green house effect,온실효과
in order toR R,하기 위하여
avoid,피하다
sources of energy,에너지 원
solar energy,태양 에너지
produce,생산하다
electricity,전기
take steps,조치를 취하다
skin,피부
most of,대부분
protect,보호하다
select,고르다 선택하다
heat,열
dirt,오물
for instance,예를 들어
function,기능
have to do with,와 관계가 있다
sense of touch,촉감
sense,감각
difference,차이
rough,거친
smooth,부드러운
surface,표면
determine,결정하다
slightly,약간
pale,창백한
sign,징조 조짐
design,설계하다
illness,병
camel,낙타
spin,회전
spin move,회전동작
achieve,이행하다 성취하다
general,일반적인
shape,모양 형태
letter,글자 문자
stretch,뻗치다
side by side,나란히
upper body,상체
bend,구부리다
forward,앞쪽으로
straight line,직선
perform,실행하다 이행하다
either,둘 중 하나
backward,뒤쪽으로
among,사이에
play a role,역할을 하다
path,길
female,암컷의
attract,끌다 매혹하다
male,수컷의
worker bee,일 벌
respond,반응하다
affect,영향을 주다
human beings,인간
discover,발견하다
fall in love,사랑에 빠지다
relation,관계
govern,통치하다
differently,다르게
imagine,상상하다
hate,증오하다
last,지속하다 계속하다
clearly,분명하게
nap,낮잠
big mean,양이 많은 식사
even though,비록 일지라도
relax,긴장을 풀다
fairly,꽤 매우
slow down,속도가떨어뜨리다
beat,심장이 뛰다
breathe,숨 쉬다
rapid,빠른 신속한
digestion,소화
stomach,위장
digest,소화시키다
native,출생의 출생지의 본국의 제나라의 토산의 그 토지 에서 태어난산출되는 원산의 토착의 그 지방 고유의
refer to,언급하다
spine,등뼈 가시
mainly,주로
produce,생산하다
various,다양한
root,뿌리
treat,치료하다
fever,열 열병
creature,동물 생물
sharp,날카로운
rat,쥐
squirrel,다람쥐
amazingly,놀랍게
active,활동적인
evil,나쁜 사악한
sight,시력
above,위
prefer,더 좋아하다
silver,은 은색
four out of ten,개중에서 넷
in ing ing,할 때
advertiser,광고주
consider,고려하다
culture,문화
advertisement,광고
describe,묘사하다 설명하다
product,제품
explain,설명하다
depend on,에 달려있다
in this case,이런 경우에
commercial,상업광고
goal,목표
create,창조하다 만들다
positive,긍정적인
mood,기분 분위기
disease,질병
gene,유전자
play a role,역할을 하다
prevent,막다 예방하다
behavior,행동
form,형태
heart disease,심장 질환
cancer,암
no matter who,일지라도
basics,기본 기초
plenty of,많은
physical,신체의
stuff,요소 음식물
checkup,검사 건강 진단
period,기간
inventor,발명가
architect,건축가
even though,비록 일지라도
most of,대부분
realistic style,사실주의적인 양식
pet,애완동물
these days,요즈음
almost,거의
keep,기르다
at least,최소한
in most cases,대부분의 경우에
carry,운반하다 휴대하다
troublesome,골치 아픈
anymore,더 이상
company,회사
product,제품
purse,지갑
shoulder,어깨
this way,이런 식으로
all the time,항상
handwriting,필적 손으로 씀
modern,현대의
more than,이상
fingerprint,손금
identify,확인하다
claim,주장하다
sort,종류
silent,조용한
grave,무덤
notice,알아차리다
movement,움직임 동작
behind,뒤
straw,짚 밀짚
hook,갈고리처럼 구부리다
pointed,예리한 뾰족한
unusual,유별난
honeymoon,신혼여행
turn on,켜다
poverty,가난
proper,적절한
nutrition,영양
suggest,제안하다
establish,설립하다
organization,단체
throughout the world,전 세계에
almost,거의
volunteer,자원 봉사자
lots of,많은
although,일지라도
valuable,귀중한
certain types of jobs,어떤 종류의 일
graduate,졸업하다
moreover,더구나
ability,능력
consider,고려하다
parking lot,주차장
official,관리 공무원
liar,거짓말쟁이
cheat,속이다
congratulate,축하하다
victory,승리
seriously,심각하게
cannot afford to,할 여유가 없다
bill,청구서
expense,경비 비용
touch,감동시키다
nod,고개를 끄덕이다
worst,가장 나쁜
humans,인간
curious,호기심 있는 사물을 알고 싶어 하는
get bored,지루해하다
specialize,전문으로 다루다하다전공하다
certain,어떤
area,분야 영역
private,사적인
exist,존재하다
rare,희귀한 보기 드문
purpose,목적
used goods,중고품
necessity,필요 필수품
value,가치
set a goal,목표를 설정하다
ingredient,재료
Mediterranean,지중해
originally,원래
acquire,얻다
instruction,교육 명령 지시
enable,가능하게 하다 허락하다
individual,개인 개개의
govern,좌우하다 다스리다
aspect,외관 관점 용모
influence,영향을 미치다
interaction,상호 작용
scale,규모
property,재산 자산
payment,지불 납입
attachment,첨부물
hesitate,망설이다 주저하다
literally,글자 뜻대로 사실상
focus,집중하다
knowledge,지식
talent,재능
condition,상태 조건
worldwide,세계적인
accomplish,이루다 성취하다
attract,끌다 매혹하다
be committed to,에 헌신하다
motivate,동기를 주다
perform,이행하다 공연하다
correctness,정확함
share,공유하다
operate,작동하다 움직이다
inborn,타고난 선천적인
physiology,생리학
detect,감지하다
sensitive,민감한
opinion,의견
determine,결정하다 결론내리다
court,궁전 왕실
conclude,결론내리다
isolate,고립시키다 분리시키다
assume,역할 임무를 맡다
expose,노출시키다
organ,신체장기
wear out,닳다
sustain,계속하다
eventually,드디어 결국
continually,계속해서
consequently,결론적으로
countryside,한 지방 시골
physically,물리적으로 육체적으로
annoying,괴롭히는
individual,개인의
camper,야영객
fortunate,운이 좋은 행운의
fascinating,매혹적인 황홀한
slap,뺨때림
entire,전체의 완전한
discipline,훈련 수양
actual,현실의
completely,완전히 완벽하게
quarter,분
calendar,달력
match up,조화를 이루다
orbit,궤도
leap day,윤일
extend,확장하다
scenario,계획안
visualize,눈에 보이게 하다
disastrous,비참한 재난의
productive,생산적인
creative,창의적인
joyful,반가운 즐거운
fewer,보다 소수의
otherwise,만약 그렇지 않으면 다른 면에서
prefer,선호하다
graduation,졸업
secretary,비서
invisible,보이지 않는
translate,번역하다
harmonious,조화된 균형 잡힌
feature,특징
confidence,신임 신용 신뢰
sentence,문장
define,정의하다
statement,진술
to the point,적절한
paragraph,절 단락
statement,말해진 것 진술
president,대통령 장
calculate,계산하다
as follow,다음과 같이
belong to,에 속하다
take the place of,대체하다
turn off,잠그다
conserve,보존하다
firmly,견고하게
unnecessarily,불필요하게 쓸데없이
primitive,원시적인
plenty of,많은
civilization,문명
doubtful,의심을 품고 있는
primitive,원시의
engage,약속하다 보증하다
efficient,능률적인 효과 있는
inactive,활동하지 않은
rude,무례한
particularly,특별히
chew,씹다
document,문서
spice,향료
ginger,생강
garlic,마늘
ancient,고대의
inequality,불평등
statistics,통계
wage,임금
motivate,에게 동기를 주다
persuade,설득하다
greatness,거대함 위대함
potential,잠재력
sparkling,반짝이는
stuff,에 채우다
squash,호박
fig,무화과
pat,가볍게 톡톡 치다
servant,하인
sheepskin,양가죽
immigrant,이민 이주자
identity,동일함 신원
academic,학원의 대학의
failure,실패 실수
dropout,낙제하다 실패하다
selfesteem,자존심 자부심
adjust,조정하다 조절하다
opportunity,기회
behave,행동하다
badly,나쁘게
polite,예의바른
exhausted,지친 힘든
lack,부족하다
pain,고통
annoyance,짜증
accept,수용하다 받아들이다
complain,불평하다
lose ones selfcontrol,자제력을 잃다
patience,인내력
curiosity,호기심
creativity,창의력
export,수출하다
recognize,인식하다
excellence,우수성
match,어울리다
pronunciation,발음
represent,나타내다
actually,실제로
official,공식적인
First Lady,영부인
professor,교수
pet,애완동물
human,인간
raise,기르다
ancient,고대의
spiritual,정신의 영혼의
attractive,매력적인
piece,조각
recently,최근에
bone,뼈
remains,유해
vacation,휴가 방학
fortunately,다행히
equipment,장비
borrow,빌리다
away from,멀리 떨어져
prefer to,더 좋아하다
though,라고 해도
cheaper,더 저렴한
dangerous,위험한
robber,강도
criminal,범죄자
organize,조직하다
wherever,어느 곳이든
bravery,용기 용맹
fine shooting,뛰어난 사격 솜씨
ability to ride horse,말 타는 능력
pistol,권총
rifle,소총
vocabulary,어휘력
skill,기술
develop,개발하다 향상 되다
article,기사
rather than,라기 보다는
context,문맥
neither,또한 아니다
word list,단어 목록
guess,추측하다
meaning,의미
measure,측정하다
finger,손가락
while,반면에
some,어떤 사람들
others,다른 사람들
step,발걸음
therefore,그래서 그리하여
length,길이
royal,왕의
width,너비
thumb,엄지손가락
blame,비난하다
international,국제적인
publishing company,출판사
reveal,발표하다
list,목록
latest,최신의
phrase,어구
select,선택하다
gain popularity,인기를 얻다
make definition,정의를 내리다
evidence,증거
publication,출판물
president,사장
ordinary people,평범한 사람들
delicious,맛있는
aroma,향
garlic,마늘
widely,널리
improve,향상시키다
for instance,예를 들어
strength,힘
courage,용기
fought fight,싸우다의 과거
unknown,알려지지 않은
nevertheless,그럼에도 불구하고
frighten,겁나게 하다
enemy,적 적군
magic power,마술적인 힘
various taste,다양한 맛
different shape,다양한 형태
healing effect,치료 효과
economic value,경제적 가치
complain,불평하다
fingerprint,지문
cafeteria,학교 식당
index finger,검지손가락
scanner,인식기
personal information,개인 정보
be concerned about,에 대해 염려하다
be willing to,에 대해 기꺼이 하다
be supposed to,할 예정이다
be satisfied with,에 만족하다
transfer,옮기다
gather,모으다
state government,주정부
far from,멀리 떨어진
village,마을
trail,길의 흔적 오솔길
curve,구부러지다
monster bear,괴물 같은 곰
escape,도망가다
point,겨누다
fire,총을 쏘다
fled flee,도망가다의 과거
bark,개가 짖다
loudly,큰소리로
hill,언덕
follow,추적하다 쫓다
through the day,하루 종일
stare at,응시하다
blank,텅 빈
condition,상태
discouraging,좌절감을 주는
overcome,극복하다
opening,앞부분
section,부분
tend to,하게 하다 이끌다
activate,활성화 하다
whenever,할 때마다
experience,경험
experiment,실험
flight instructor,비행교관
fighter jet,전투기
nickname,별명
calm,침착한 차분한
positive,긍정적인
negative,부정적인
characteristic,성향 성격
panic,공포
dangerous situation,위험한 상황
cloud,구름
instructor,교관
control,통제하다
fix,고쳐주다
instructions,지시사항
correct,수정하다 고치다
collect,수집하다
confidence,자신감
Mars,화성
exploration,탐험 탐사
microwave,전자레인지
wheel,바퀴
solar,태양의
panel,판
severe temperature,심한 온도
planet,행성
collect,수집하다
visual data,시각자료
at the front,앞쪽의
signal,신호
handlike,손과 같은
structure,구조
hold,잡다
various,다양한
wake up,잠에서 깨다
harmful,해로운
dietician,영양사
recommend,추천하다
point to,지적하다
scientific evidence,과학적 증거
chemicals,화학물질
contain,포함하다
blood circulation,혈액순환
relieve,제거하다 줄이다
headache,두통
milky,우유가 들어있는
sleepy,졸리는
stimulate,자극하다
ahead of a day,하루 시작 전
add,덧붙여 말하다
compare A to B A B,를 에 비유하다
choosing a career,직업 선택
available,이용할 수 있는
option,선택상항
romantic person,낭만적인 사람
in other words,다시 말해서
theater,극장
suit,적합하다
earn,벌다
personality,성격
profession,직업 분야
different parts,다른 지역
different cultures,다른 문화
be surprised at,에 놀라다
get a stomachache,배가 아프다
jealous,질투나는
green with envy,질투로 파래지다
skin of an ill,아픈 사람의 피부
with jealousy,질투가 나서
by carrying bags,가방을 날라주며
be sent to a prison,감옥에 보내지다
develop,익히다
pitching skills,던지기 기술
get out,석방하다 나가다
join,들어가다
the Baseball Hall of Fame,야구 명예의 전당
diameter,지름
seed,씨앗
carry,운반하다
spread,퍼지다
lack,부족하다
structure,구조
survive,살다 생존하다
stem,줄기
leave,나뭇잎
attach,에 붙다
suck,빨아 먹다
weigh,무게가 나가다
sharp increase,급격한 증가
stay steady,안정되어 있다
lowest number,가장 낮은 수
fast rise,빠른 상승세
peak,최고
fall continuously,계속 떨어지다
forest fire,산불
disaster,재앙
in the past,과거에
whenever,할 때마다
forest keeper,산림 감시원
put out,을 끄다
be allowed to,하기를 허락 하다
Forest Service,산림청
chief of the Forest Service,산림청장
limited fire,제한된 화재
make room,공간을 만들다
diseased trees,죽은 나무
clear away,제거하다
acre,넓이의 단위
passive listener,수동적 청취자
communicate,의사소통하다
factual message,사실적 메시지
miss,놓치다
run into,뛰어들다
my gosh,맙소사
assume,가정하다
point,핵심
active,적극적인
become involved in,합류하다
block association,반상회
organization,조직
ordinary citizen,일반시민
activity,활동
common,평범한
tree and flower planting,나무 꽃 심기
cleanup day,대청소
association,모임
neighborhood,이웃
crime,범죄
take a chance,기회를 잡다
be in a hurry,서두르다
time,시간을 재다
at almost twice the rate,거의 배 비율
nervous,불안한
bean,콩
rename,새로운 이름을 짓다
funny,재미있는
wing,날개
chicken wings,닭 날개
get out,나가다
temperature,기온
rise,오르다
stair,계단
blast,폭발 센 바람
sound of exploding glass,유리 폭발 소리
flame,불꽃
shed tears,눈물을 흘리다
breathe,호흡하다
ash,재
fly by,날아가다
fire truck,소방차
siren,사이렌
fire fighter,소방관
attach,붙이다
lightning,번개
urgent,급한
be hold,개최되다
United Kingdom,영국
trophy,트로피
on display,전시 중에 있는
investigate,조사하다
robbery,도난사건
strange object,이상한 물건
wrap,포장하다
unwrap,포장을 풀다
buried,묻혀있는
recognize,인식하다
cleaners and soap for the home,가정용 비누와 세제
lemon scent,레몬 향
smell of vanilla,바닐라 향
relax,편하게 하다
patient,환자
customer,고객
comfortable,편안한
remind,떠오르게 하다
pretend,인 척하다
cheerlead,응원하다
outgoing,사교적인
shy,수줍은
get involved with,에 열중하다
perfect body,완벽한 신체
perfect grade,완벽한 성적
average,보통의
class president,학급 반장
personality,성격
sigh,한숨
escape,탈출하다 도피하다
occur to,에 생각나다
character,등장인물
script,대본
determine,결정하다
unavoidable circumstance,불가피한 상황
beg for,구걸하다
face up to,극복하다
financial problem,재정적인 문제
government,정부
even worse,더 나쁜 것은
professional beggar,직업적 거지
in real need,정말로 궁핍한
sentiment,감정
an easy source of money,쉬운 돈 벌이의 원천
in itself,그 자체인
negative,부정적인
properly,적절하게
be applied to,에 적용시키다
penniless,돈 없는
unemployment,실직
miserable,비참한
family background,가정환경
be treated as,로 취급되다
social failure,사회적 실패자
end up,끝나다
family or community support,
,가족 지역 사회의 지원
selfish,이기적인
individually,개인적인
individual giving,개인적 도움
charity,자선 단체
government action,정부 조치
be made from,으로 만들어지다
brick,벽돌
concrete,콘크리트
steel,강철
iron,철
various,다양한
shape,모양
flat,편평한 납작한
cliff,절벽
century,세기 년
sailor,선원
guide,안내하다
area,지역
alert,에게 위험을 경고하다
flash,불 빛을 번쩍 발하다
unique,독특한 고유한
figure out,파악하다 이해하다
location,위치
be equipped with,을 장착하다 설비를 갖추다
specialized,전문의
navigation,항법 항해
equipment,장비 설비
not any more,더 이상 않다
builder,건축가
admire,존경하다
orderly,순서 바른
lay,쌓아 올리다
foundation,기초 토대
put up,올리다 설치하다
process,진행 과정
roof,지붕
floor,마루
check,검사하다
progress,경과 추이
at any time,언제라도
housework,집안일
immediately,즉시
accomplish,완성하다 이루다
special kind,특별한 종류
friendly,우호적인
environmentally,환경적으로
look like,처럼 보이다
typical,전형적인
stack,쌓아 올리다
cardboard,판지 마분지
one of,중에 하나
major,주요한
cause,이유
traffic accident,교통사고
feature,특징 특색
include,포함하다
solar panel,태양 전지판
generate,발생시키다
electricity,전기
collect,모으다
not only A but also B A B,뿐만아니라 도
recycle,재활용하다
waste,쓰레기
natural resources,천연 자원
in the long run,결국
The Board of Education,교육 위원회
consider,고려하다
break up,해체하다
agree with,동의하다
unsportsmanlike,스포츠맨 정신에 어긋나는
behave n behavior,행동하다
acceptable,수용할 수 있는 받아들일 수 있는
Year after year,해가 갈수록
terribly,지독하게
be criticized for,에 대해 비난받다
rude,무례한
conduct,행동 행위
such,그런
continual,지속적인 계속되는
grocery,식료품
back seat,뒤 좌석
sweet,귀여운
next to,옆에
parking lot,주차장
unlocked,잠기지 않은
completely,완전히
alone,혼자
leave,남기다
get in,타다
get out,내리다
concern,염려 걱정
front seat,앞좌석
like,처럼
guarantee,보증하다
cardboard,마분지
investment,투자
shape,모양
subject,주제
develop,발달시키다
skill T,기술 솜
match,맞추다 조화시키다
sort,분류하다
sleigh,썰매
absurd,부조리한 엉터리없는
first of all,우선 무엇보다도
supposed,가정의 가상의 상상된
activity,행동
rule,규칙
physics,물리학
in just one night,하룻밤에
though,임에도 불구하고
nowadays,요즘
exist,존재하다
chimney,굴뚝
deliver,배달하다
at least,최소한 적어도
mall,대형 상가
despite,에도 불구하고
suit,정장 한 벌
many of,대부분
be good at,를 잘하다
unfortunately,불행히도
make money,돈을 벌다
in order to,하기 위해서
every timewhen,할 때마다
try,시도하다
skill,기술 솜씨
pale,창백한
skin,피부
no longer,더 이상 않다
desirable,바람직한 호감이 가는
tan,햇볕에 태우다
desire,욕구 욕망
lead to,결과를 가져오다
invention,발명
spray,스프레이 분무
lotion,로션
darken,빛깔이 거뭇해지다
vacation,휴가 방학
product,제품
lie down,눕다
gain,얻다 늘리다
temperature,기온
expect,기대하다
rise,오르다
in a short time,짧은 시간에
be careful,조심하다
quarrel with,와 다투다
spouse,배우자
in the world,비교급 강조 도대체
actually,실제로
formal,정식의 형식적인
weather forecast,일기예보
warn,경고하다
couples,부부
that day,그 날
Celsius,섭씨의
increase,증가하다
relate,관련시키다
mood,기분
raise,일으키다
sensation,반향 센세이션
pray,기도하다
for the first time,처음으로
offer,제공하다
position,직책
manager,관리자
as soon as possible,가능한 빨리
amazed,깜짝 놀란
such a great,그 런 멋진
opportunity,기회
hang up,전화를 끊다
joy,기쁨
beat throb,심장맥박 따위가 뛰다
button,버튼을 누르다
regretful,후회하는
indifferent,무관심한
disappointed,실망한
delighted,아주 기뻐하는
get old,나이를 먹다
be supposed toR R,할 예정이다
allow,허락하다
strict,엄격한 엄한
bend,악용하다 구부리다
bring up,양육하다 기르다
properly,올바르게 제대로
generous,관대한
toward,에 대하여
modern society,현대 사회
silence,침묵
rare,드문 진기한
common,일반적인 흔한
suffer from,로 부터 고통 받다
unwanted,원치 않는
noise,소음
sunrise,해돋이 일출
fill A with B A B,를 로 채우다
sunset,해질 녘 일몰
sauce,소스 양념
constant,끊임없는
sauce,양념
source,근원 원천 원인
be well known for,을 잘 알려지다
noisiness,소음
comfort,안락하게 하다
disturbing,어지럽히는
effect,효과 영향
anywhere,어느 곳에서나
one day,어느 날
above,위
dont have to,할 필요가 없다
automatic,자동의 자동적인
invention,발명 발명품
heat,열
melt,녹이다
ice cube,얼음 덩어리
weight,무게
connect,연결하다
take a shower,샤워하다
tray,칸막이 한 작은 상자 쟁반
bucket,양동이
so That will,하기 위하여
original,최초의 본래의
position,위치 자리
recent,최근
get,얻다
print,인쇄 출판물
organization,조직체 단체
especially,특히
profit,이익 수익
decrease,감소하다
create,만들다
report,보도하다
news industry,뉴스 산업
deliver,배달하다 전하다
comment,견해 의견
shape,구체화하다
examine,검사조사하다 고찰하다
lead A toR A R,에게 할 마음이 생기게 하다
issue,논쟁점 문제
otherwise,그렇지 않으면
unexamined,검사하지 않은
take notes,필기하다
in ing ing,할 때
gain,얻다 획득하다
besides,게다가 더욱이
develop,발전시키다
curiosity,호기심
relationship,관계
interest,관심 흥미
improve,향상시키다
huge,거대한
invitation,초대
brilliance,훌륭함 재기 발랄
when it comes to,에 관해서
care,관심을 갖다 신경 쓰다
uncomfortable,불편한
in order toR R,하기 위하여
stylish,현대식의 유행의
not only A but also B,
look taller,더 크게 보이다
slim,늘씬한
attractive,매력적인
effect,영향 효과
cause,의 원인이 되다
