english,korean
soak,v.- 을 홈뻑 적시다
indefinitely,adv . 무 ( 기 ) 한 으로
managerial,관리 의
relocate,이전 하다
relocation,재배치
delay,n . 지연 , 지체 v . 미루다 . 연기 하다
eligible,adj . 자격 이 있는 , 적임 의 , 적격 인
eligibility,n . 적임 , 적격
candidate,n . 지원자 , 후보자
enforce,v . 강요 하다 ; 시행 하다
distributor,n . 유통 업자 [ 체 ] , 배급 업자
distribute,v . 배포 하다 . 배급 하다
distribution,n . 배포 , 배급
distributive,adj . ( 상품 ) 유통 의
distribute A to B,A 를 B 에게 배포 하다
costly,adj . 비용 이 많이 드는 , 값 비싼
leisurely,한가로운 , 여유 있는
likely,가능성 있는
timely,시기 적절한
credential,n . 홀륭 한 경력 , 학력 . 자격 ( 성적 ) 증명서 v . 자격증 을 주다
be given preference,phr . 우대 를 받다
issue,v . 지급 ( 발급 ] 하다 , 발행 ( 출판 ] 하 다 n . 문제 , 쟁점 : ( 잡지 등 의 ) ~ 호 , 출판물 발행
diligently,adv . 부지런히 , 열심히
critical,adj . 대단히 중요한 : 비판적인
supplement,v . 보충 ( 추가 ] 하다 n 보충 ( 추가 ] ( 물 ) : ( 책 의 ) 부록 : ( 신문 의 ) 증보판
supplementary,adj . 보충 의 , 추가 의
profile,v . 프로필 을 알려주 다 ( 작성 하다 ] n . 측면 : 프로필 , 인물 소개
keep [ maintain ] a low profile,겸손 함 을 유지 하다 . 몸 을 사리다
reportedly,adv . 보도 에 의하면 , 알려진 바에 따르면
appointee,n . 지명 된 사람
appointment,n . 임명 , 지명
appointment,n . 임명 , 지명 : 예약 , 약속
incorporate,일부로 포함 하다
incorporation,n . 포함 법인 설립 , 법인 단체 , 회사 ( corporation )
incorporated,adj . 법인 조직의
adjacent,adj . ( 지역 · 건물 등 이 ) 인접한 . 가까운
adjacent to 장소,- 에 인접한
personnel,n . 직원 들 , 인력 : 인사과
occupancy,n . 사용 , 점유 , 거주
colleague,n . 동료
on-call,adj 대기 중인 ( 전화 만 하면 언제든지 달려가 는 )
maintenance,n . 보수 관리 , 유지
maintain,v . 유지 하다 . 보수 하다
committed,ad . 헌신적 인 , 전념 하는
commitment,n . 전념 , 헌신
be committed[dedicated/devoted) to,~에 기여하다 헌신하다
simplify,v . 간소화 하다 , 단순화 하다
retrieve,v . 되찾다 . 회수 하다 : 정보 를 검색 하다
retrieve luggage,수화물 ( 짐 ) 을 찾다
agreement,n . 동의 , 합의 , 협약
in agreement of,~ 에 동의 하는
expedite,v . 신속히 처리 하다 . 진척 시키다
expeditious,adj . 신속한
culinary,adj 요리의
destination,n . 행선지 , 도착지 , 목적지
assortment,n . 모음
an assortment of 복수 명사,여러 가지의
unanimous,adj . 만장일치의
encouragement,n . 격려 , 장려
encourage 목적어 to V,- 하도록 권장 하다 장려 하다
be encouraged to V,- 하도록 권장 받다
easily,adv . 쉽게 , 용이 하게
normally,adv . 일반적 으로 , 보통
past,prep . 지나서 adj . 지난 , 과거 의
nomalize,v . 정상화 되다
normality,n . 정상 상태
conveniently,adv . 편리 하게
review,v . 검토 하다 , 평가 하다 n . 검토 , 평가 : 재검토
promising,adv . 유망한 , 장래성 있는
reputation,n . 평판 , 명성
permission,n . 허가 , 승인
be bound to V,phr . 틀림 없이 / 반드시 ~ 할 것이다
enhance,v . 향상 시키다 . 강화 하다
enroll,v . 등록 하다
associate,n . ( 사업 / 직장 ) 동료 : 직원 v . 관련 시키다
enclosed,adj . 동봉 된 : 둘러싸인 , 에워 싸인
feature,v . ~ 을 특징 으로 하다 , ~ 을 특별히 포함 하다 n . 특징 , 특색
characteristic,n . 특징
whereas,반면에
distribution,n . 배포 , 유통 , 분배
specifics,n . 세부 사항
otherwise,adv . 달리 : 그렇지 않으면
increment,n . ( 양적 ) 증가 임금 인상
effective,ad ( 법률 , 규정 등 이 ) 시행 되는 : 발효 되는 효과적인
in addition,phr . 덧붙여 , 게다가
redeem,v . 되찾다 . ( 상품권 등 을 ) 상품 이나 현금 으로 교환 하다
priority,n . 우선 사항 , 우선권
track,v . ( 전개 / 진행 과정 을 ) 추적 하다 n . 궤도 , 선로 : 지나온 자국
retain,v . 보유 하다 . 유지 하다
monitor,v . 주시 [ 모니터 ] 하다 , 관찰 하다
poll (poul) = survey,n . 여론 조사 : 투표 | v . 여론 조사 를 하다 : 득표 하다
appreciation,n . 감사
immediate,ad . 즉각적인 , 직접적인
pending,adj . 미결인 , 보류 중인 : 임박한
utility bills,phr . 공과금
conserve,v . 아껴 쓰다 , 보존 하다
conservation,보존
conform to,v . 지키다 . 준수 하다
evaluate,v . 평가 하다
accommodate,v . 요구 등에 부용 하다 . 수용 하다 . ( 사람 을 ) 숙박 시키다
subscribe to,v . 구독 하다
fund,n . 자금 v . 자금 을 대다
consist of,v.- 로 구성 되다
attempt,n . 시도 v . 시도 하다 . 노력 하다
similar,adj . 비슷한 , 유사한
promote,v . 홍보 하다 . 승진 시키다 ; 증진 / 촉진시키다
factor,n . 요소 , 요인
regarding,prep.- 에 관하여
submit,v . 제출 하다 . 제기 하다
compliance,n . ( 법 / 규칙 의 ) 준수 , 순음 : 고분고분 함
probation period,phr . 수습 기간
permit,n . 허가증 v . 허가 / 허용 하다
a handful of,phr . 소수 의 , 소량 의
notify,v.- 에게 알리다 . 통지 하다
release,v . 공개 하다 . 발표 하다 . 출시 하다 n . 발표 , 개봉 , 출시
deficit,n . 적자 , 부족액
address,v . ( 문제 등 을 ) 다루다 , 연설 하다 . ( 라고 ) 부르다 . ( 편지 를 ) 보내다 n . 연설 , 강연 : 주소
detailed,adj . 자세한 , 상세한
fulfill,v . 이행 하다 ; 충족 시키다 . 달성 ( 성취 ] 하다
total,adj . 전체 의 , 완전한 n . 합계 , 총액 v . ( 합계 / 총계 가 ) ~ 가 되다
estimate,n . 추정 ( 치 ) : 견적 ( 서 ) ( = a quote ) v . 추산 하다 . 추정 하다
underestimate,v . 과소 평가 하다 n . 과소 평가
estimation,n . 판단 ( 평가 ] , 평가 치
estimative,ad 평가의 , 견적의
reliable,ad . 믿을 만한 , 신뢰할 수 있는
thus far (=so far, since),adv . 이제까지 는 , 여태 까지
stimulate,v . 자극 하다 . 격려 하다
occasion,n . 행사 : 때 , 경우
occasionally,adv . 때때로 , 가끔
occasional,adj , 가끔 의 , 때때로
correspondence,n . ( 남과 주고 받는 ) 서신 [ 편지 ] . 서신 왕래
setback,n . 차질
endeavor,n . 노력 , 시도 v . 노력 하다
construction,n . 건설 , 공사
serve,v . ( 상품 / 서비스 를 ) 제공 하다 . 근무 하다 , 봉사 하다 : ( 손님 ) 시중 을 들다
treat,v . 대접 하다 : ( 특정한 태도 로 ) 대하다 . 처리 하다 ; 치료 하다 n . 특별한 대접
numerous,adj . 매우 많은
solely,adv . 오로지 , 전적으로
acknowledge,v . 인정 하다 : ~ 에게 감사 를 표하다 . 받았음 을 알리다
setback,n . 차질
endeavor,n . 노력 , 시도 v . 노력 하다
construction,n . 건설 , 공사
serve,v . ( 상품 / 서비스 를 ) 제공 하다 . 근무 하다 , 봉사 하다 : ( 손님 ) 시중 을 들다
treat,v . 대접 하다 : ( 특정한 태도 로 ) 대하다 . 처리 하다 ; 치료 하다 n . 특별한 대접
numerous,adj . 매우 많은
solely,adv . 오로지 , 전적으로
acknowledge,v . 인정 하다 : ~ 에게 감사 를 표하다 . 받았음 을 알리다
alert,adj . 경계 하는 , 주의 하는 v . 알리다 . 주의 를 환기 시키다 n . 경계 경보 : 알림
engrave,v . 새기다 . 조각 하다
readership,n . 독자 수 ( 중 ]
interact,v . 소통 하다 , 교류 하다
boost,n . 증가 , 부양책 v . 신장 시키다
at one's earliest convenience,phr . 되도록 일찍
keep up with,phr . ( 소식 에 대해 계속 ) 알다 . ( 뒤쳐 지지 않고 상태 를 ) 계속 유지 하다 . 뒤쳐 지지 않다
payment,n . 결제 , 지불 ( 금 )
by oneself,phr . 혼자서
specifically,adv . 특별히 , 구체적 으로
nomination,n . 임명 , 지명 : 추천 , 후보
demonstrate,v . 설명 ( 증명 ) 하다 : 시연 하다
demonstrator,n . 시범 자 , 시위자
offset,v . 상쇄 하다 . 메우다 n . 차감 계산 , 보상
benefit,v . 혜택 ( 이득 ) 을 보다 유익 하다 n . 혜택 , 이득 , 수당
Instruction,n . 가르침 : 지시 사항 , 설명서 ( -s )
promotion,n . 승진 , 장려 , 홍보 , 판촉
earn,v . ( 금전 을 ) 벌다 . ( 평판 을 ) 얻다
complaint,n . 불만 사항 , 불평
appliance,n . ( 가정용 ) 기기 , 가전 제품
admission,n . 입장 : 입학
travel expenses,phr . 여행 경비
reimbursement,n . 환급 , 상환 , 배상
misplace,v . 잃어 버리다 . 제자리 에 두지 않다
editorial,adj . 편집 의 n . 사설 , 논설
resume,v . 다시 시작 하다 , 재개 하다
potential,adj . 가능성 이 있는 , 잠재적 인 n . 가능성 , 잠재력 ( 불가 산 N )
device,n . 기기 , 장치
voucher,n . 쿠폰 , 상품권
devise,v . 고안 하다 . 발명 하다
expenditure,n . 지출 , 비용
shortfall,n . 부족액 , 부족
significance,n . 중요성
significant,adj . 상당한 , 중요한
incrementally,adv . 점진적 으로 , 점차
resolve,v . 해결 하다 .
relevant work experience,phr . 관련 분야 의 경력
affiliate,n . 계열사 v.- 와 제휴 시키다 , 합병 하다
be affiliated with,v.- 와 제휴 를 맺다 . ~ 와 관계 가 있다
property,n . 재산 : 부동산 , 건물 , 대지
load,v . ( 짐을 ) 싣다 . 적재 하다 n . 적하 , 짐
comply with,v . 준수 하다
overbook,v . 예약 을 한도 이상 으로 받다
malfunction,n . 고장 v . 오작동 하다
dedicated,adj . 전념 하는 , 헌신적인
waive,v . 적용 하지 않다 , 면제 하다 . 포기 하다
coincide with,phr . 동시에 일어나 다 , ~ 와 일치 하다 ( -concur )
assist,v . 도와 주다 n . 원조 , 조력
testimonial,n . 추천 글 , 추천서
affordability,n . 저렴한 비용
equivalent,adj . 해당 하는 , 동등한
deliberate,adj . 고의적 인 : 신중한 v . 심사숙고 하다
prominent,adj . 중요한 , 저명한 , 두드러진
punctual,ad , 시간 을 잘 지키는 , 시간 을 엄수 하는
rigorous,adj . 철저한 , 엄격한
selective,adj . 까다로운 , 선별 적인
punctual,ad , 시간 을 잘 지키는 , 시간 을 엄수 하는
rigorous,adj . 철저한 , 엄격한
selective,adj . 까다로운 , 선별 적인
challenging,adj . 어려운 , 힘든
restoration,n . ( 낡은 건물 · 그림 의 ) 복원 , 복구
officially,adv . 공식적 으로 , 정식 으로
officially,adv . 공식적 으로 , 정식 으로
slightly,adv . 약간 , 조금
substantially,adv . 상당히 , 많이
nearly,adv . 거의
immediately,adv . 즉시 , 곧 ( 바로 )
enrollment,n . 등록
requirement,n . 필요 조건
recommend,v . 추천 하다
carefully,adv . 조심 스럽게 , 신중히 , 주의 깊게
enough,adj. 충분한 adv . 충분히
transport,v . 수송 하다 . 운송 하다 n . 수송 , 운송
exceptional,adj . 예외적 인 : ( 이례적 일 정도로 ) 뛰어난
proof,n . 증명 ( 서 ) , 증거 ( 물 )
prospective,adj . 장래 의 , 미래 의 , 예상 되는
update,n . 업데이트 , 최신 정보 v . 갱신 하다 , 최근 정보를 알려주다
suitable,adj . 적합한 , 적절한 , 알맞은
seek,v . 찾다 . 구하다
receive,v . 받다
demand,n . 수요 . 요구 v . 요구 하다 , 요청 하다
accustomed,adj.- 에 익숙한
aspire,v . 열망 하다
accompany,v . 동행 하다 : 동반 하다
schedule,v . 일정을 잡다 n . 일정
actively,adv . 적극적으로
extensive,adj . 광범위한 , 폭 넓은
statement,n . 성명 ( 서 ) : 명세서 , 내역서
solicitation,n . 간청
be credited with,phr . ~ 로 인정 받다 . 신뢰 를 얻다
opposite,adj . 맞은 편의 반대 의 prep. 20 (across from)
accessible,adj . 접근 가능한 , 이용할 수 있는
assure,v . 장담 하다 , 확신 시키다
vacant,ad . 공석의 , 비어 있는
given,prep.- 를 고려 해볼 때 , 감안할 때
specify,v . 구체적으로 명시하다
conflict,n . 갈등
influx,n . 유입 , 도래
nonrefundable,adj . 환불 되지 않는
subsequent,adj . 차후의
interfere with,v . 방해 하다 ; 간섭 하다
flyer,n . 전단지
party,n . 단체 : 정당
stress,v . 강조 하다 n . 강조 , 중점
advancement,n . 진보 : 승진
wealth,n . 재산 , 부 : 풍부
noticeable,adj . 눈 에 띄는 , 뚜렷한 , 현저한
withdraw,v . 빼내다 . 인출 하다 . 철수 시키다
withdraw,v . 빼내다 . 인출 하다 . 철수 시키다
lead,v . 이끌다 . 안내 하다 : 이어 지다 . 초래 하다 ( in )
now that,conj.- 이기 때문에 , ~ 이므로
entry,n . ( 경기 등 의 ) 참가자 : 출품물 , 참가작
pay off,phr . 성과 를 올리다 . 성공 하다
surplus,n . 잉여 ( 물 ) , 과잉 : 흑자
funding,n . 자금 : 자금 제공 [ 재정 지원 ]
operate,v . 운영 하다 : 작동 하다
grant,n . ( 정부 ) 보조금 v . 주다 . 수여 하다
relief,n . 안도 , 안심 : 완화 , 경감
duplicate,v . 복사 하다 . 복제 하다 n . 사본 , 복사 / 복제물 ( -s ) adj 아주 똑같은
referral,n . 소개 , 위탁
worsen,v . 악화 되다 : 악화 시키다
fully,adv . 완전히 , 전적으로
locate,v . 위치 시키다 : ( - 의 정확한 위치를 ) 찾아 내다
representative,n . 직원 , 대표 adj . ~ 을 대표 하는
gathering,n . 모임 , 집회 : 수집
throughout,prep . 내내 , ~ 동안 죽
negotiate,v . 협상 하다
markedly,adv . 현저 하게 , 두드러 지게
purpose,n . 목적
in light of,prep.- 에 비추어 , - 의 견지에서
expertise,n . 전문 지식 [ 기술 ] . 불가 산 명사
expert,n . 전문가
entry,n . ( 경기 등 의 ) 참가자 : 출품물 , 참가작
pay off,phr . 성과 를 올리다 . 성공 하다
surplus,n . 잉여 ( 물 ) , 과잉 : 흑자
funding,n . 자금 : 자금 제공 [ 재정 지원 ]
submission,n . ( 서류 / 제안서 등 의 ) 제출
operate,v . 운영 하다 : 작동 하다
grant,n . ( 정부 ) 보조금 v . 주다 . 수여 하다
relief,n . 안도 , 안심 : 완화 , 경감
duplicate,v . 복사 하다 . 복제 하다 n . 사본 , 복사 / 복제물 ( -s ) adj 아주 똑같은
referral,n . 소개 , 위탁
worsen,v . 악화 되다 : 악화 시키다
glowing,adj . 빛나는 : 극찬 하는
obligation,n . 의무
Instructional,adj . 교육용의
administer,v . 운영 하다 . 관리 하다 실시 하다 . 집행 하다
run,v . 진행 [ 계속 ] 되다 . 제공 되다 ; 운영 하다 ( 기계 ) 돌아가다
significant,adj . 중요한 , 상당한 , 의미 있는
ample,adj . 많은 , 풍부한 , 충분한
commission,n . 수수료 , 커미션 : 위원회 v . ( 제작 / 일 을 ) 의뢰 하다 . 주문 하다
follow up on,phr . ~ 에 대해 후속 조치 하다 ; ~ 을 계속 주구 / 이행 하다
proceed,v . 계속 해서 ~ 하다 . 진행 되다 . 나아가다
proceedings,n . 회의록 , 의사록
demonstration,n . 시범 설명 , 시연
rate,n . 요금 : 속도 : 비율 v . 평가 하다
exactly,adv . 정확하게
fairly,adj 꽤 , 상당히
restrict,v . 제한 하다 . 한정 하다
recently,adv . 최근에
accurate,adj . 정확한
volume,n . 양
compatible,adj . 호환 이 되는 , 양립 할 수 있는
compatibilty,n . 호환성
compatible with-,- 와 호환 이 되는
chief,adj . 주된
forum,n . 포럼 , 회담 , 토론회
thrilling,adj . 스릴 있는 , 신나는
attentively,adv . 주의 깊게 , 조심 스럽게
satisfaction,n . 만족 , 충족
basis,n . 기준 , 근거
applicable,adj . 해당 되는 , 적용 되는
pertaining to,prep.- 에 관련된
variety,n . 다양 함 , 다양성 ; 종류 , 품종
incur,v . ( 비용 을 ) 발생 시키다 . 초래 하다
groundbreaking,adj . 획기적인 n . 착공 , 기공식
intend,v . 의도 하다 . ~ 하려고 생각 하다
incurrence,n . ( 손해 를 ) 입음 , ( 책임 을 ) 초래 함
apply for,phr . 지원 하다
local,ad . 지역 의 , 지방 의 n . 지역 주민
apply for,지원 하다
apply to,적용 하다
quarterly,adj . 분기 별 의 , 분기 의 adv . 분기 별로 , 분기 마다
figure,n . 수치 : 인물 , 그림 v . 계산 하다 . 생각 하다 (inkáunter)
encounter,v . ( 난관 에 ) 부딪 히다 . 우연히 마 주 치다
volunteer,n . 자원 봉사자 v . 자진 하다 . 자원 봉사 하다
obtain,v . 얻다
respective,adj . 각각의 , 각자의
equip,v . ( 장비 를 ) 갖추어 주다
enthusiasm,n . 열광 , 열정
installation,n . 설치
correspond to,phr.- 와 일치 하다
available,adj . ( 사람이 ) 시간 이 있는 , 비 는 , ( 사물이 ) 이용할 수 있는
separately,adv . 따로 따로 , 개별적으로
charge,n . ( 상품 / 서비스 에 대한 ) 요금 : 책임 의무 : 충전 v . ( 요금 을 ) 청구 하다 . 맡기다 . 충전 하다
traditionally,adv . 전통적 으로
proximity,n . 가까움 , 근접
stretch,n . ( 길게 뻗은 ) 구간 , 지역
term,n . 조건 : 기간 : 용어
emphasize,v . 강조 하다
cooperation,n . 협력 , 협동 : 협조
periodically,adv . 정기적 으로
acclaimed,adj 칭찬 [ 호평 ] 을 받고 있는
challenge,n . 도전 , 어려운 일 v . ~ 에 도전 하다
rather,adv . 꽤 , 다소 : 오히려 , 차라리
confirm,v . 확인 하다 . 확정 하다
influence,v . 영향 을 주다 n . 영향 ( 력 )
prompt,v . ( 어떤 일 이 일어나 도록 ) 하다 . 촉발 하다 . 유도 하다 adj . 즉각적인 : 신속한
draw,v . 끌다 . 끌어 들이다 . 이용 하다 . 의지 하다
reverse,v . 뒤집다 , 반대로 하다 adj . 반대 의 , 역 의 n . 반대
stipulate,v . 규정 하다 . 명기 하다
widen,v . 확장 하다 . 넓히다
categorize,v . 분류 하다
marked,adj . 뚜렷한 , 눈 에 띄는
category,n . 범주
consider,v . 고려 하다 . 숙고 하다
impression,n . 인상 , 감명
inspection,n . 점검 , 정밀 검사
discontinue,v . 생산을 중단하다
resolution,n . 해결 , 결심 : 해상도
assessment,n . 평가 , 감정
assess,v.- 을 평가 하다
resolution,n . 해결 , 결심 : 해상도
assessment,n . 평가 , 감정
resolve,v . ( 문제 등 을 ) 해결 하다
closely,adv . 면밀 하게 , 긴밀히
extend,v . 연장 하다 , 확대 하다 주다 , 베풀다
consult,v . 상의 하다 , 상담 하다
portable,adj . 휴대가 쉬운 , 휴대용의
coordinate,v . 조정 하다 , 협력 하다
a series of,phr . 일련 의
arguably,adv . ( 최상급 앞에서 ) 거의 틀림 없이 , 주장 하건대
capacity,n . 정원 , 용량 : 수용력 , 능력
urgent,adj . 긴급한 , 긴박한
urgency,n. 긴급함
modification,n . 변경 , 수정
authentic,adj . 진짜인 , 진품의
cooperatively,adv . 협력 하여
accumulate,v . 축적 하다 ; ( 이자 , 점수 , 포인트 등 이 ) 생기다
precise,adj . 정확한
steady,adj 끊임 없는 , 꾸준한 , 확고한
overdue,adj . 기한이 지난 , 지불 기한이 넘은
clarify,v . 명확 하게 하다
notable,adj . 유명한 , 저명한
rental,n . 임대 , 임차 , 대여
expire,vi . 만료 되다 . 끝나다
clarification,n . 설명 , 해명
rely (on=upon),v . ~ 에 의존 / 의지 하다
initiate,v . 개시 [ 시작 ] 하다 . 착수 하다
respected,adj . 홀륭한
respected,adj . 홀륭한
highly,adv . 매우 , 대단히
respond,v . ( ~ 에 ) 반응 / 응답 하다
invent,v . 발명하다 . 고안하다
expense,n . 비용 , 경비
sizable,adj . 상당한 ( 크기 의 ) , 꽤 많은
cater,v . ( 사업 으로 행사 에 ) 음식 을 공급 [ 조달 ] 하다
policy,n . 정책 , 방침 보험 증권
soon,adv . 곧 , 머지 않아
share,v . 공유 하다 . 나누다 n . 몫 , 주식 ( sstock ) . 시장 점유율
instead,adv . 그 대신
instead of,~대신에
appropriate,adj . 적절한 , 알맞은
exceed,v . 초과하다 . 넘어서다
particular,adj . 특정한
range,n . 다양성 , 범위 v . ( 범위 가 ) ~ 에 이르다
perishable,adv . 신속히 , 즉시 : 정각에
differentiate,v . 구분 짓다 . 구별 하다
length,n . 길이 : 기간
compensation,n . 보상 ( 금 ) , 보수
receipt,n . 영수증 ( 가산 명사 ) : 수령 ( 불가 산 명사 )
deteriorate,v . 악화 되다 . 더 나 빠지다
position,n . 일자리 , 직 ( 책 ) , 위치 , 입장 v . ( ~ 을 위치 / 장소 에 ) 두다
comparable,adj . 비슷한 , 필적 할 만한
compare,v . 비교 하다 . 견주다
comparison,n . 비교 비유
diversionn,. 전환 , 딴 데로 돌림
divert,v . 방향을 바꾸게 하다 , 우회 시키다
secure,v . 안전하게 지키다 : 얻다 . 확보 하 다 . 고정 시키다 adj . 안전한
advocate,n . 지지자 , 옹호자 v . 옹호 하다
contemporary,adj . 현대의 , 같은 시대의
customary,adj . 관례 적인 , 관습 상의
customarily,adv . 관례 ( 습관 ] 적 으로
customs,n , 세관
spare,adj . 여분의 , 남는
confidential,ad . 기밀의 , 비밀의
confidentiality,n . 비밀 , 기밀 유지
exceptionally,adv . 예외적 으로 , 특별히
analysis,n . 분석 , 연구
generate,v . 발생 시키다 , 만들어 내다
within,prep.- 이내에
dependent,adj . ~ 에 의존 하는 ( on )
financially,adv . 재정적 으로 , 금전적 으로
deliberation,n . 심사숙고 : 토의 , 심의
expand,v . 확장 하다 . 확대 하다 . 늘리다
likely,adj.- 할 것 같은
allow,v . 허락 하다 . 허용 하다
